"n","p","q","tau","B","shape.1","shape.2","shape.3","shape.4","shape.5","scale.1","scale.2","scale.3","scale.4","scale.5","shape.mle.1","shape.mle.2","shape.mle.3","shape.mle.4","shape.mle.5","scale.mle.1","scale.mle.2","scale.mle.3","scale.mle.4","scale.mle.5","shape.lower.1","shape.lower.2","shape.lower.3","shape.lower.4","shape.lower.5","shape.upper.1","shape.upper.2","shape.upper.3","shape.upper.4","shape.upper.5","scale.lower.1","scale.lower.2","scale.lower.3","scale.lower.4","scale.lower.5","scale.upper.1","scale.upper.2","scale.upper.3","scale.upper.4","scale.upper.5","convergence","loglik"
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.68970354183522,0.898929937291442,0.746259110615432,1.30593368208016,1.33504513559913,852.640288911,1364.12130811621,1968.09961927231,764.781826677532,714.15063359408,0.694674937573078,0.562779620734152,0.34451353557949,0.912453267200493,0.911230761684447,3.14118889474914,1.40551913965265,1.11423203958599,1.79637703189455,1.9123800973143,508.418069471476,675.406095727171,830.766421486807,506.169937818906,481.560993564753,6215.01938327425,5200.99707360999,28906.4221972617,1649.46658281443,1644.42122640775,0,-576.309761181283
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,2.0398645144097,1.03245061482915,1.15724605607057,1.1375577308574,0.979148537940315,680.464028809268,2592.15922557292,995.413657312508,1144.42722059572,1118.3672344287,1.35289231810434,0.526038553220623,0.894109729406881,0.583078997852411,0.682282068224732,3.19220428285127,1.81389313126944,1.59446550766224,2.06412904406477,1.49523719425067,495.401061208494,984.477347677672,640.297795185412,610.478826435331,646.957185375517,1274.30559971029,63890.2692364454,2370.03424709094,5894.5313791448,2965.13455772252,0,-548.471349587086
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.20486697810017,1.20873913670206,0.969599352775118,1.42117368732786,1.35499300391604,1083.27101302333,896.43542101773,1081.10111770956,929.248728056606,785.122739553694,0.676099025498444,0.818177363689185,0.759889731523063,0.949795325540252,0.880042529743549,2.19287248982852,1.61777691813347,1.21686333998224,2.19372428384108,1.91560954869976,568.999881430131,554.296972648193,621.179702310403,549.26432536259,520.285818369743,4712.50425210635,2277.17496538501,2262.33685618774,2285.64864490715,1718.76404103831,0,-566.168440824398
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.09270958234531,1.08544582208251,1.28350384805441,0.993780833268467,1.36082003579991,780.490691338165,1042.25116427536,835.438642777204,1194.51280929133,875.303484211192,0.705251392236924,0.822492205955335,0.946661149917355,0.592192618786892,1.00749935381127,1.76314838134137,1.38437978230005,1.75916086629936,1.49619282082761,1.95022945246844,487.212140001155,605.459425397298,531.246622868233,634.965544908414,534.05997732364,2123.73952420986,2413.30444774556,1776.12782700878,5978.23012778256,1941.58178233551,0,-584.080679660433
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.2479979341469,1.00976054032537,1.39066067525359,1.29409124264467,0.91789030458991,1216.64540488478,1004.68649649495,718.891545813953,921.50811319297,822.510751185551,0.842588564962087,0.658068104481045,1.0050004681274,0.829102171109865,0.654050138086715,1.85816783134423,1.5224017767842,1.95405619222535,1.93515801179512,1.27516920210676,669.91103063006,561.098775572743,480.329846328838,554.359801122099,509.158478679725,4594.74004168754,3551.22856420338,1450.51490371524,2685.36265902433,1859.76614614162,0,-587.181847857415
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,0.99104992572482,0.830381520960033,1.38695121996351,0.725800517303104,1.26035090838018,1674.66523739709,1631.80452236039,731.815643747784,2410.61882630977,540.315994865977,0.617834693220052,0.467764614969787,0.847684877720968,0.451886749723321,0.850562211220193,1.79868293053295,1.5302342135023,2.20179131894701,1.2334774462056,1.78821303932705,727.792823064867,663.024434768142,479.58153941927,843.442011702799,401.759081897132,8862.3517024702,11308.5691744409,1898.65824064673,19753.2373155411,979.952386246157,0,-607.043223959155
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.35460215031123,0.895571711795025,1.12151912418954,0.850063903901517,1.27020834004792,976.306994276043,965.923694916435,665.444482544365,1631.93557611986,817.495593429786,1.00162915931014,0.645583357947106,0.7680616833415,0.5124766521493,0.734329977318898,1.80895029838011,1.30679142702582,1.59230744684367,1.23566833756512,2.16844173678936,609.506425466953,552.081157507768,440.272567635709,768.808199212081,503.499939846011,2330.18319174035,2532.16269826919,1579.36605947634,8329.27597661924,2675.88771841139,0,-606.518157015145
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.05737868136216,0.667471674861373,0.957877659239299,1.11495944801139,1.88753216924483,1059.39019802608,2928.11338584471,899.444564939548,923.431110206149,580.888531541704,0.760110769976066,0.374975117451775,0.647871725867921,0.78349249803891,1.08594069438368,1.52564973174387,1.05190946211082,1.42552319771368,1.5965442789748,2.91507302578338,580.030246910996,1002.09868436712,532.945552851155,577.230580901205,433.464141564767,2841.31861949875,37384.2372166526,2256.39727564604,2589.2286544856,1316.83409578477,0,-592.772599048999
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.22675227348827,1.58706490192479,0.956551137287048,1.28225359035646,1.19318634457999,953.691124795177,602.261504662942,941.931309216949,805.843757301891,989.930490841314,0.766140500893555,0.96946640863739,0.747887778783967,0.924039528763894,0.612121510028332,1.89203556918737,2.29937130936035,1.4078232608517,1.87337764250354,2.17408830878057,526.317492630114,436.95199125047,553.216241690159,500.244606249904,531.856088728456,2590.62632364056,1254.35047487555,2023.28426969341,1670.4664256847,5497.75002355761,0,-611.545734947452
90,0,0.825,377.709824077126,1000,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.28600518509894,1.45897083951259,1.14280042009089,0.952408414264048,0.94227849634949,961.428463599992,586.594914523673,707.440872668891,1318.05564499837,1154.18743400757,0.905414955138445,1.0153674686798,0.890865918504231,0.658901931613067,0.528010303535163,1.65733848401928,2.07474909664893,1.60514391948326,1.49669541076869,1.46072571490792,578.737061060255,416.619928434282,457.983303336605,654.761393151258,586.068711335407,2572.10245241915,968.885268289137,1372.36248726647,4624.72011049026,5525.5708969786,0,-599.743010770636
