"n","p","q","tau","B","shapes.1","shapes.2","shapes.3","shapes.4","shapes.5","scales.1","scales.2","scales.3","scales.4","scales.5","shapes.lower.1","shapes.lower.2","shapes.lower.3","shapes.lower.4","shapes.lower.5","shapes.upper.1","shapes.upper.2","shapes.upper.3","shapes.upper.4","shapes.upper.5","scales.lower.1","scales.lower.2","scales.lower.3","scales.lower.4","scales.lower.5","scales.upper.1","scales.upper.2","scales.upper.3","scales.upper.4","scales.upper.5","logliks"
750,0.215,0.825,377.709824077126,500,1.23953898662693,1.20417022850087,1.15766245335286,1.27127257987352,1.37466677606867,852.431600346925,1121.33111583892,775.246833009126,956.615678959362,730.324487012333,0.992252346252423,0.930983647101744,0.97447527317688,1.00677285985119,1.04753812398989,1.42090485435452,1.44350316777289,1.32259231660254,1.47822811191978,1.64593220612446,563.201616407255,455.904203923997,548.840345706714,572.703907228207,457.681233627213,1055.88384694422,1423.97325087344,928.792224726662,1184.3542274757,871.559596383583,-4635.62398923909
750,0.215,0.825,377.709824077126,500,1.34612154520802,0.992084106934982,1.17711757248992,1.20969364894989,1.19133909179647,1255.58157697796,1112.84226030739,725.39810053294,839.75574949902,982.165485119126,0.857855405565988,0.804611945294189,0.98518374299961,0.973921084627008,0.894847387798239,1.61201219455768,1.14195188176516,1.34216892544053,1.38382636901301,1.40152020947364,461.049987663448,547.466462079681,539.38107567709,540.815097347173,520.454420576677,1633.80933599242,1410.52475662266,859.774493277188,1007.23847145661,1233.05610087269,-4601.25336722446
1000,0.215,0.825,377.709824077126,500,1.2765375649198,1.16843440603265,1.12524624403358,1.33004624266073,1.17863011778682,814.166272989225,939.396736740933,700.216980849737,1017.86290064613,1039.55896667282,1.03510108549459,0.956335225411303,0.951340547092043,1.09627347679696,0.953256157695644,1.51482935356651,1.34727057372295,1.26366839470418,1.51488835930464,1.3277432189069,481.214443819373,597.213332700261,508.426270869387,645.611134430147,630.746576317896,966.474728482955,1136.39717373207,810.653009557247,1254.86582865681,1279.22583197548,-6215.82010898037
1000,0.215,0.825,377.709824077126,500,1.35304555957147,0.97792367924728,1.02481652067255,1.16021640473591,1.18898704094739,865.06521866213,1136.66955799106,952.490108745003,1016.72255343743,885.984294655627,1.07301117081308,0.835921936223936,0.833724463418199,0.848040913445125,1.03588522481707,1.55202332925385,1.07850004719317,1.1553652930783,1.34887807753333,1.33948335908866,604.106435914292,739.099989579657,621.793675307469,531.3501714346,626.131265152211,1036.98518997118,1402.89019982688,1155.98229996258,1272.36541903944,1044.30754301353,-6137.99535233313
2500,0.215,0.825,377.709824077126,500,1.35052240281743,1.14458756436825,1.13078524039671,1.2020807123268,1.27294674972215,870.360178583013,817.688464615728,852.250467337141,950.671963632427,924.168480141711,1.15930920378024,1.04028869800975,1.01859756750594,1.05154567492446,1.11533419219145,1.48787462563656,1.23123609572384,1.23653380542833,1.32664205453062,1.42185685379928,716.761294068741,693.192538150235,690.225015732588,739.020520947682,737.46715904023,991.655511051499,912.37562864045,964.55561642314,1097.53400680272,1059.56650345454,-15582.1981378022
2500,0.215,0.825,377.709824077126,500,1.2618404733277,1.08610448873418,1.10913404780362,1.17768194063063,1.21778625641561,909.07844501598,1040.94412392975,853.463923988091,869.069862469404,1005.61398875841,1.10119636028461,0.991051278140316,0.994124837928196,1.08693237864287,1.04274834722303,1.38853059992382,1.18127965857975,1.2139563929885,1.27152839990465,1.37053423872357,715.957852662186,834.98470572033,706.59205848737,721.494298307261,745.30583989489,1046.61270382203,1190.71146153522,967.088956261932,976.053145125428,1178.29607264021,-15491.5199098127
5000,0.215,0.825,377.709824077126,500,1.31266909182778,1.13641666002833,1.15128057958295,1.12412257960322,1.14341204606101,965.380964385829,878.365634431748,849.31935842872,1006.85296230629,995.763387002628,1.19533861748933,1.05652131286478,1.06932217813939,1.03658969045269,1.06057628831628,1.41634644903616,1.20686804670394,1.22476423293717,1.19931250854345,1.227116716645,830.296098337418,763.260846359532,745.188841943848,860.377401876734,840.871422793545,1070.48025985667,970.637366353028,925.770206573748,1124.47651425591,1115.34013492785,-30794.3083649492
5000,0.215,0.825,377.709824077126,500,1.23621791429274,1.26646823861454,1.13735791885078,1.15133696407667,1.19487836800032,989.234370476353,856.796462845022,818.44134638905,943.650241494393,895.292729721509,1.13348215724806,1.16718358578785,1.05631160316076,1.05595097225074,1.10380256429641,1.33329858430725,1.36332503150146,1.20854421342741,1.24102454038626,1.29076345354504,829.714688534025,741.928143804148,724.746911368908,802.651021220905,774.935425296868,1100.87123528146,950.903844371381,889.44271614898,1062.70520942559,983.334694262962,-31138.1680492467
750,0.215,0.825,377.709824077126,500,1.4062351099099,0.960650698315164,1.10682287925385,1.34844863803249,1.14790724760042,950.271833570748,1182.19284977075,773.936851428438,777.683508862383,1152.40007931726,1.08969896056076,0.761809994960531,0.938846182028769,0.986260305909849,0.883667777483958,1.64235662950978,1.08848289404234,1.24584894774202,1.63178411752941,1.33635044349306,600.275710604266,617.858797247485,541.522945009387,449.063632515083,559.514851761722,1182.06425479558,1532.30419386541,918.18435578381,936.232018184838,1454.57598916475,-4614.48263906924
750,0.215,0.825,377.709824077126,500,1.24141737618574,1.050001116348,1.07246371011481,1.2214056456366,1.20641399921068,938.272793883446,935.005047870013,951.462795168434,939.849667302729,982.603615887633,0.934530454021059,0.869956198127495,0.865129955433972,0.930695672123791,0.906500833185127,1.48212065472201,1.1974437067319,1.2394834745397,1.44213227026163,1.39262928154195,489.015239550019,628.532680883957,604.806609506009,426.040736135723,574.963599919472,1159.63985750974,1135.74860265431,1183.32217479847,1168.99723413911,1221.02094926121,-4633.47299554279
1000,0.215,0.825,377.709824077126,500,1.26378121761094,1.15957133495201,1.09087467591093,1.2356849604484,1.30137091731062,939.391353503528,907.633728176259,828.896643870654,1001.6340344672,836.337980170238,0.994874498895842,0.882388155462535,0.915112799973644,0.94969736449781,1.01353915010467,1.46170023769686,1.33945819729794,1.22611731367474,1.42298675147172,1.49117802141925,580.223029868927,605.531350037126,601.067395990527,609.467582066037,543.128533772158,1146.79946191682,1101.1758340666,980.63560358694,1230.56802593808,1014.87603612497,-6242.54153615711
1000,0.215,0.825,377.709824077126,500,1.15737428145954,1.19408339031081,1.05078593973278,1.24059845857436,1.24753247235882,967.756151965831,940.303610823771,956.315293267132,825.416192967484,925.369868668094,0.983980686801563,0.951401155147122,0.897171585128996,1.04717462200791,0.964058819406301,1.31991482150329,1.35719405714889,1.17361322130001,1.40150461611372,1.4353512303582,564.323789818721,601.499592164735,667.871446969962,572.057082501473,588.793245206437,1173.09694444423,1152.50769691498,1162.44286428967,977.979078208153,1123.93662675022,-6181.37744075866
2500,0.215,0.825,377.709824077126,500,1.30577906500249,1.21337248167832,1.10053361047412,1.16517600704143,1.09476354186875,1001.26352084583,839.929484232487,821.241396748013,1023.0349727049,1082.85114406594,1.13682213571892,1.0975595684343,0.990023310362538,1.01336356127096,0.964159283470985,1.44427135743184,1.32190144334653,1.1968301890725,1.30540442508191,1.2102082292755,760.293816777101,703.799859914462,684.27922208124,784.426002081512,799.623452764121,1155.8526466393,952.164452983187,910.227441254041,1191.38510094103,1264.65220078065,-15438.4094994907
2500,0.215,0.825,377.709824077126,500,1.09245259397353,1.1010112632801,1.16038817639456,1.13715929470583,1.34605847242035,1244.29118966488,999.962468655382,795.029196809152,1048.43349537079,805.377201617684,0.943503399260875,0.980316036654417,1.0502008287369,0.992422029409077,1.1616054504907,1.22801933229247,1.2155591277552,1.25434526574408,1.25082975984886,1.51179441267711,849.017640396444,779.194844911013,667.337641752081,806.391176476129,662.189309445483,1473.12357788666,1153.55359364905,894.833766713103,1221.11740421576,902.749700319913,-15434.2078311811
5000,0.215,0.825,377.709824077126,500,1.27403695098105,1.1982902242037,1.13090606509984,1.14164482975324,1.22664388250515,996.56311329179,852.011477269631,823.829429391679,933.278410986437,910.925821631603,1.14969680260146,1.10998722728432,1.04929069733207,1.06011762792572,1.13478082258895,1.37943993858434,1.27454271911707,1.2071935703695,1.22094681221032,1.33004445816869,847.720204608321,754.253512600625,723.985640566369,815.090536602306,757.985191497802,1127.74846785744,934.973491861854,903.318076701638,1026.67840257462,1002.75240153098,-31195.912327918
5000,0.215,0.825,377.709824077126,500,1.28752018222477,1.23195815146916,1.13528403088269,1.13153771489412,1.25733260923233,922.613570803921,833.839645697129,862.740930531664,987.909378547666,838.935396463561,1.18786424369157,1.13458834744557,1.05955766001127,1.0490270352849,1.16048193592798,1.38048946994665,1.31474415135751,1.20039704729012,1.20571473429764,1.34715541151772,784.19936902664,725.267556861887,760.441565096495,855.952393906861,734.582950110158,1019.10964136138,916.049612211203,940.752594330995,1107.14462720047,921.516131251512,-31198.1209406004
