"n","p","q","tau","B","shape.1","shape.2","shape.3","shape.4","shape.5","scale.1","scale.2","scale.3","scale.4","scale.5","shape.mle.1","shape.mle.2","shape.mle.3","shape.mle.4","shape.mle.5","scale.mle.1","scale.mle.2","scale.mle.3","scale.mle.4","scale.mle.5","shape.lower.1","shape.lower.2","shape.lower.3","shape.lower.4","shape.lower.5","shape.upper.1","shape.upper.2","shape.upper.3","shape.upper.4","shape.upper.5","scale.lower.1","scale.lower.2","scale.lower.3","scale.lower.4","scale.lower.5","scale.upper.1","scale.upper.2","scale.upper.3","scale.upper.4","scale.upper.5","convergence","loglik"
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.28434851465373,1.6221155172648,0.840478734518751,1.11266204050899,1.15807143134571,1337.99409451155,481.894807586891,1501.53603455681,1560.33613193991,595.037734057969,0.604665647747357,1.0243084086946,0.495755301291603,0.617252479220555,0.703332788598176,9.66871044697987,2.66163444282641,5.19796435378604,9.96352443183453,3.24957077633692,384.18882639126,349.177437828408,462.73156533154,395.417443439375,357.884720061898,11151.3545293514,1072.68433820385,15146.4655841321,10265.774191818,1948.09863099819,0,-324.498421747804
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,2.52874916005155,1.08510146256009,0.609649230633817,1.63866609436936,1.71267240783525,589.568879171845,962.810548822609,3628.00856025186,660.012958311188,664.587090530907,1.10795008458346,0.530525310552906,0.323271009684012,0.780487668177651,1.12611891638219,42.8961730314174,2.92109957427131,1.12658140760031,2.8991801406628,3.03105238436246,381.580133716613,453.644188125079,918.407877241596,424.776107933972,404.538862688288,2230.90558557062,11667.977828396,301377.470685417,2235.72899047444,2104.52384647499,0,-303.564598227437
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.12202397010474,0.709212621303175,1.65093688883957,1.57210374889264,2.51768991819039,1743.95809669218,3617.56624058701,459.360697627117,594.809217272677,697.316997249373,0.580066482219454,0.363795684506525,1.0394930520468,0.633958368722796,0.995525434030249,2.76094156098836,1.20203369539565,3.41107365312135,3.96376076593141,12.2994774292645,652.36408438964,1046.28229686867,350.162048997475,386.344382654427,402.763995422845,64102.4548745219,369402.921200587,859.462565242906,5376.22037043075,2588.6379942282,0,-314.09838587144
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.84149022843256,0.968246846037556,1.29554643021657,1.40413660664068,1.60165286567646,713.362423684935,1388.1331366597,1050.57772670133,580.851933995145,661.343594515628,1.33174997722589,0.32362420112422,0.930011370880431,0.938614564290724,1.23461532054171,8.29618644554318,2.03625431096812,5.51727874980721,2.07913216618312,2.15407729860474,411.678727104229,476.536825940533,438.723753625647,363.231849612136,402.07916289475,3071.90076142553,823613.576792777,4770.76008612985,2378.56579106486,2698.94914038021,0,-295.016489624195
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,0.853249959816512,1.45507659789627,0.902719137865645,1.6625198986276,1.35773017278889,1327.56335900719,750.423583424184,1195.77938316292,763.690221897561,1113.37595770597,0.491659766746778,0.93111316866151,0.558743357133825,1.05916268792633,0.609207884718353,1.25580690168313,5.36621496965843,1.8175109056284,16.3809289305897,36.2086241443638,536.665357696023,449.710698198071,495.974310684275,402.768350364514,387.550329490591,10259.8001484977,4911.66820244911,16645.6683587118,3970.4224400529,6776.31796189433,0,-292.463738398619
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,0.879135010711061,0.664437011618223,1.06470601148625,4.41988769946584,3.00872416467246,1038.86599805223,2799.63111622262,450.210134063477,2563.61758820767,445.504471180579,0.585335291294577,0.31162235784137,0.500350727616875,4.40831677389964,0.841474561114293,1.35439069381978,1.60406794044585,2.14319560737288,126.492871193931,17.3305548365899,450.096873430376,698.206400676767,301.030829681901,2099.41185711771,354.600126825688,4999.022045648,4645405.3962662,2836.41510141124,89274.0748568448,2644.17630996686,1,-313.973163000906
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,2.20648366302563,1.86156884084292,1.45093878875844,1.22317441180579,1.36310558986161,684.964670895009,585.580299334868,1403.40839417431,476.092094466129,822.82450190929,0.423506041882374,1.15666914794968,0.57946836943679,0.724852137050951,0.929353186139243,14.5641466495074,3.50126143746888,7.13837611642617,2.17811003929094,12.199479604004,382.312629327893,388.166069316711,403.124044601044,351.135116441433,412.841623542871,35282.8896321631,1921.31710935011,8054.67811031145,1080.66433378727,3850.02875112965,0,-323.697566702444
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.32127052067452,0.857152684782883,0.767531774622601,0.901692872777251,0.945270682156053,698.822626132388,1768.36784871549,2238.54192872424,6562.45198978067,5650.20070858483,0.855114467719641,0.623093303332666,0.619791787076581,0.499498953736552,0.495197913247455,2.23008972503802,1.11487555793032,3.21232348413376,2.23137039785754,3.44138534955249,434.9434082175,686.926740495548,770.058382291472,1044.05660119299,954.994738854372,2208.21048143946,8138.57187692772,11324.8056268948,25021.5791874675,21680.7050437587,1,-250.66337564105
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.45270219563667,6.0687177891861,1.8915125331054,1.06834257375561,1.29973108693223,868.875963562909,4723.45202926581,601.895532404833,723.470800391602,785.46854610672,0.844533833790658,6.06531641442274,1.05194050527476,0.708097337609637,0.863663849272807,2.23110589903701,6.06878020518473,5.9786855677381,2.63032477545244,3.43382226704734,471.325604849881,4722.32206711857,415.122778185413,429.263111312812,437.101498182067,3568.602958482,4723.46530887463,3284.88679035393,2407.66259808807,2498.87540258458,0,-298.11497674085
50,0.215,0.825,377.709824077126,500,1.2576,1.1635,1.1308,1.1802,1.2034,994.3661,908.9458,840.1141,940.1342,923.1631,1.88394071526281,0.78841561624675,0.984234342108322,1.19783282830647,1.2901189070238,541.176739646559,2099.55591516969,1542.10299180248,823.885620111757,894.810301373178,0.954556916026046,0.341867688028309,0.385227578273573,0.614749731959602,0.730702957428306,4.13942311054558,2.11586319704959,3.69025864856994,3.63236079390884,6.21245579679142,364.268658251721,651.779121130857,491.995928176662,400.696708900277,397.72252855267,1732.11025039147,752237.895912584,391479.293839205,11367.4364990141,3692.47320572313,0,-307.551548343726
