n,p,q,p.value,stat,loglik.F,loglik.R
50,0.215,0.825,0.347939233932089,4.45481242946187,-304.641532715509,-306.86893893024
100,0.215,0.825,0.418658389186942,3.90757722852868,-609.865356535177,-611.819145149442
200,0.215,0.825,0.045816449790039,9.69892346402821,-1276.13730555694,-1280.98676728896
300,0.215,0.825,0.880161772156856,1.18744248365101,-1884.89642367095,-1885.49014491277
400,0.215,0.825,0.51184423737187,3.28165416026968,-2470.72461177974,-2472.36543885987
500,0.215,0.825,0.633894153478345,2.56017360445094,-3092.47851692183,-3093.75860372405
1000,0.215,0.825,0.47613574524705,3.51147464903624,-6177.27514473066,-6179.03088205518
2000,0.215,0.825,0.125128714100368,7.2114179479031,-12292.679836676,-12296.2855456499
4000,0.215,0.825,0.0886002261808596,8.08256221206102,-24865.2118303426,-24869.2531114486
5000,0.215,0.825,0.205364360173089,5.91789558309392,-31394.0242211916,-31396.9831689831
6000,0.215,0.825,0.176395111121057,6.32143206680485,-37441.2942359052,-37444.4549519386
7000,0.215,0.825,0.0146595197574028,12.3924428568425,-43421.9922637072,-43428.1884851356
8000,0.215,0.825,0.268008349378087,5.19354932183342,-49317.3483381142,-49319.9451127751
10000,0.215,0.825,0.0698654807171723,8.67116291586717,-61663.4783580198,-61667.8139394777
50,0.215,0.825,0.487983557364933,3.43400600703717,-262.287770429535,-264.004773433054
100,0.215,0.825,0.317428181915652,4.71841861089933,-616.330359508486,-618.689568813936
200,0.215,0.825,0.656477652193113,2.43407854092857,-1279.14753507583,-1280.3645743463
300,0.215,0.825,0.243692230188778,5.45523770912223,-1818.31441055943,-1821.04202941399
400,0.215,0.825,0.28009247940984,5.07097261062609,-2452.60106138743,-2455.13654769275
500,0.215,0.825,0.429428702484852,3.8305156229444,-3079.36719225687,-3081.28245006834
1000,0.215,0.825,0.106224483574959,7.62731587037888,-6092.60054426651,-6096.4142022017
2000,0.215,0.825,0.99250554690478,0.255450117296277,-12261.9498059968,-12262.0775310555
4000,0.215,0.825,0.0977529968245175,7.83653564487759,-24806.2582237331,-24810.1764915556
5000,0.215,0.825,0.59904063543043,2.75836598559545,-31215.820652449,-31217.1998354418
6000,0.215,0.825,0.0539604532972567,9.30281737224141,-37137.0864283931,-37141.7378370792
7000,0.215,0.825,0.104556770097426,7.66724194148264,-43586.60003354,-43590.4336545107
8000,0.215,0.825,0.119003649982673,7.33938967747963,-49596.2194335121,-49599.8891283508
10000,0.215,0.825,0.00946249633499396,13.4037680500915,-62284.7388915123,-62291.4407755373
50,0.215,0.825,0.787644835721401,1.71690352354483,-278.209270905747,-279.067722667519
100,0.215,0.825,0.337635035005622,4.54167014105155,-595.335598130693,-597.606433201219
200,0.215,0.825,0.0894328333840596,8.05921961740842,-1222.6326693772,-1226.66227918591
300,0.215,0.825,0.00657969574028501,14.2356592059236,-1870.3778706519,-1877.49570025486
400,0.215,0.825,0.858900414995753,1.31455999643094,-2481.94698182238,-2482.60426182059
500,0.215,0.825,0.867095404345146,1.26612941122585,-3178.30699160156,-3178.94005630717
1000,0.215,0.825,0.268741460529763,5.18598055358598,-6217.51939401101,-6220.1123842878
2000,0.215,0.825,0.150778724918377,6.73145307216691,-12348.0707374791,-12351.4364640152
4000,0.215,0.825,0.0183375397269719,11.8709021242757,-24724.1505272742,-24730.0859783363
5000,0.215,0.825,0.00725466439583209,14.0126900099785,-31143.9593733407,-31150.9657183457
6000,0.215,0.825,0.00522190427129072,14.7616829268663,-37187.8101175378,-37195.1909590013
